"6","1"
"10","2"
"3","3"
"9","4"
"1","5"
"7","7"
"4","10"
"4","11"
"4","16"
"6","18"
"8","21"
"6","25"
"1","26"
"7","29"
"10","32"
"8","34"
"2","35"
"4","38"
"1","44"
"10","45"
"4","46"
"5","50"
"9","53"
"5","56"
"7","61"
"8","62"
"4","63"
"5","66"
"7","68"
"5","69"
"9","70"
"10","71"
"3","72"
"1","75"
"7","78"
"1","79"
"2","81"
"10","84"
"7","86"
"2","89"
"10","91"
"1","92"
"8","93"
"4","94"
"1","102"
"10","103"
"9","105"
"3","110"
"7","111"
"9","113"
"7","114"
"3","116"
"6","117"
"5","118"
"2","119"
"7","121"
"5","123"
"5","125"
"3","126"
"4","127"
"9","128"
"10","129"
"8","132"
"2","133"
"9","139"
"5","140"
"7","141"
"8","143"
"9","149"
"3","152"
"7","153"
"3","156"
"10","158"
"7","160"
"4","164"
"1","165"
"6","168"
"7","169"
"9","170"
"7","172"
"9","173"
"2","174"
"3","175"
"5","178"
"4","179"
"4","181"
"4","182"
"8","184"
"2","186"
"7","188"
"1","190"
"5","191"
"4","193"
"1","194"
"2","196"
"3","197"
"6","198"
"10","199"
"10","200"
"4","203"
"10","204"
"4","209"
"10","210"
"5","211"
"9","213"
"7","214"
"6","216"
"8","218"
"6","219"
"8","222"
"4","223"
"7","227"
"3","228"
"9","230"
"10","231"
"5","232"
"6","235"
"5","240"
"8","242"
"1","244"
"1","245"
"10","246"
"10","248"
"3","252"
"8","253"
"3","255"
"7","258"
"1","260"
"2","264"
"8","265"
"10","266"
"7","267"
"10","269"
"2","271"
"3","273"
"3","275"
"10","276"
"5","279"
"7","282"
"1","283"
"3","289"
"6","291"
"7","292"
"2","295"
"8","300"
"3","301"
"10","302"
"9","304"
"5","309"
"8","310"
"10","311"
"2","313"
"8","317"
"9","318"
"10","321"
"8","322"
"5","323"
"3","324"
"10","326"
"4","327"
"5","328"
"10","329"
"10","330"
"3","331"
"8","332"
"5","337"
"7","340"
"6","342"
"9","345"
"3","346"
"5","351"
"10","352"
"6","353"
"6","354"
"10","356"
"1","358"
"5","360"
"5","361"
"3","362"
"7","366"
"5","368"
"10","370"
"9","372"
"1","374"
"3","378"
"8","379"
"2","380"
"10","381"
"9","383"
"10","384"
"9","386"
"7","388"
"4","390"
"9","392"
"1","395"
"2","396"
"3","397"
"3","399"
"3","400"
"3","401"
"10","402"
"9","403"
"8","404"
"1","405"
"8","408"
"7","411"
"8","413"
"1","416"
"1","417"
"8","418"
"10","421"
"9","423"
"9","425"
"1","426"
"8","428"
"1","429"
"2","432"
"3","433"
"3","435"
"8","438"
"4","439"
"8","442"
"10","444"
"10","451"
"7","453"
"2","455"
"6","457"
"8","458"
"1","459"
"6","461"
"6","462"
"5","463"
"10","464"
"10","465"
"7","466"
"5","467"
"6","468"
"2","469"
"3","470"
"6","476"
"6","479"
"7","480"
"1","481"
"1","482"
"9","483"
"3","486"
"9","487"
"10","488"
"5","489"
