"0","92","117","1994-08-06 07:58:51"
"1","18","374","2020-04-11 21:20:54"
"2","29","1823","1970-05-17 17:36:38"
"3","37","929","2002-07-28 19:20:07"
"4","98","1964","2019-01-16 13:40:23"
"5","39","1265","2011-06-03 07:26:50"
"6","55","429","2002-05-04 05:31:04"
"7","51","1244","1998-05-23 05:53:39"
"8","20","1217","1985-07-16 15:04:55"
"9","12","1990","2022-02-28 14:00:11"
"10","9","817","1979-04-04 00:23:34"
"11","40","464","1981-03-10 16:03:12"
"12","53","152","1997-05-08 08:31:23"
"13","42","1620","1971-06-18 18:32:46"
"14","9","179","1990-06-03 13:27:12"
"15","66","1884","1970-02-22 00:39:57"
"16","53","495","1983-04-09 03:26:52"
"17","79","1562","2008-11-19 13:56:55"
"18","48","696","2001-06-24 23:17:07"
"19","15","1910","1978-11-01 01:03:57"
"20","88","1549","1986-06-19 12:08:19"
"21","62","649","1975-07-16 18:38:59"
"22","20","1043","2004-12-08 15:15:06"
"23","87","16","2011-09-01 20:18:18"
"24","54","929","1987-03-11 12:50:41"
"25","65","1568","1988-03-08 00:21:40"
"26","91","1982","2001-05-11 16:39:15"
"27","22","1327","1978-02-25 20:53:36"
"28","0","734","2002-10-05 05:49:57"
"29","60","727","1984-09-16 17:04:44"
"30","84","1265","1987-07-19 07:28:43"
"31","17","1828","1998-02-26 05:59:08"
"32","99","386","2017-10-21 03:03:48"
"33","22","1202","2016-04-12 11:41:36"
"34","9","713","2019-09-11 10:13:26"
"35","77","476","1981-04-14 06:03:02"
"36","75","1288","1973-06-08 18:15:04"
"37","0","368","1982-09-19 02:00:40"
"38","89","574","1973-07-25 11:59:44"
"39","97","865","1974-03-09 02:16:27"
"40","16","1911","2019-03-21 01:21:49"
"41","74","1065","1978-03-19 08:28:07"
"42","81","1671","2006-03-20 04:25:30"
"43","14","426","2005-11-23 01:48:04"
"44","64","1045","1995-03-01 17:02:26"
"45","16","358","1992-08-02 02:11:07"
"46","32","1283","1989-01-28 15:02:51"
"47","1","1720","1980-02-10 17:35:20"
"48","70","1598","1990-08-09 19:34:21"
"49","42","425","2018-06-26 02:32:00"
"50","58","360","1988-10-18 09:25:46"
"51","73","332","1991-02-04 02:37:21"
"52","26","518","2007-10-10 04:44:04"
"53","25","1176","1983-12-21 18:35:40"
"54","65","727","1999-10-20 19:57:11"
"55","3","1217","2000-10-26 12:08:07"
"56","95","301","2022-04-26 00:31:41"
"57","7","1124","1998-01-20 01:13:11"
"58","77","728","2005-11-12 19:46:40"
"59","91","1570","2015-03-13 05:17:13"
"60","75","89","1986-06-08 12:02:32"
"61","51","1411","1986-12-04 00:30:36"
"62","51","129","1975-03-14 06:34:04"
"63","58","439","1980-03-18 12:27:58"
"64","91","1046","1977-04-06 00:42:56"
"65","68","423","1997-07-17 03:30:08"
"66","39","1123","1993-03-04 05:45:01"
"67","98","611","2000-10-21 21:56:20"
"68","43","1459","2023-02-19 03:30:32"
"69","53","944","1982-07-28 03:25:59"
"70","3","123","1974-02-17 12:06:42"
"71","6","197","1980-04-30 16:04:28"
"72","10","396","2017-06-30 04:02:37"
"73","16","1671","2019-04-07 09:08:38"
"74","44","1080","2002-07-01 18:02:27"
"75","65","886","2003-04-25 22:09:06"
"76","48","1858","2021-06-28 16:22:32"
"77","62","1317","1991-02-27 05:42:18"
"78","46","640","1983-07-10 00:04:48"
"79","15","164","2023-09-23 07:15:36"
"80","46","822","1995-05-01 12:48:40"
"81","95","188","1970-02-17 09:51:49"
"82","6","165","1998-12-13 03:16:43"
"83","3","332","1990-12-06 01:07:08"
"84","81","1822","1971-12-07 18:48:31"
"85","3","46","2017-12-24 13:44:17"
"86","64","520","2001-04-09 07:09:36"
"87","99","1412","2009-06-03 13:37:54"
"88","37","734","1979-07-20 07:28:28"
"89","40","186","2020-04-21 04:39:12"
"90","68","886","1995-05-23 15:42:19"
"91","4","291","1996-10-24 03:38:00"
"92","25","1580","2015-01-11 04:39:32"
"93","59","426","2019-06-02 13:02:08"
"94","46","1476","1979-05-22 20:17:15"
"95","4","461","2004-06-24 13:25:16"
"96","57","1826","1987-06-10 22:09:34"
"97","59","981","1996-07-11 09:17:28"
"98","52","1080","1973-08-10 11:43:29"
"99","39","755","1996-02-03 01:06:36"
"100","36","383","1988-03-11 06:35:39"
"101","15","1045","1974-08-07 06:52:58"
"102","16","379","1976-06-23 01:53:22"
"103","31","1886","2015-06-07 21:41:08"
"104","96","803","1982-02-13 05:06:46"
"105","85","44","1978-11-04 20:56:23"
"106","84","1190","1979-03-05 12:54:48"
"107","56","640","2018-01-13 22:56:55"
"108","60","172","1978-12-27 14:15:01"
"109","63","117","2002-03-14 16:58:47"
"110","36","1492","2023-10-24 15:05:45"
"111","0","121","2013-11-21 04:22:41"
"112","66","199","2017-05-22 16:10:45"
"113","69","428","1975-02-20 01:01:22"
"114","85","1475","2016-03-20 11:47:04"
"115","15","975","1993-02-06 08:24:09"
"116","6","1381","2000-08-02 19:43:55"
"117","45","681","2010-05-30 15:42:48"
"118","14","1676","2023-10-16 06:26:24"
"119","6","1954","2005-04-23 06:13:12"
"120","11","1743","1982-10-01 19:10:00"
"121","50","699","1977-12-07 07:42:36"
"122","47","1323","2001-04-14 10:44:05"
"123","12","1257","1989-09-07 23:39:14"
"124","28","328","1986-07-18 10:02:02"
"125","38","1968","2002-07-15 23:12:52"
"126","15","1616","2006-10-29 17:53:21"
"127","95","1459","1981-07-07 14:07:23"
"128","57","413","2015-01-11 10:07:57"
"129","62","390","2019-12-12 21:49:09"
"130","96","1436","1994-02-03 00:12:00"
"131","87","283","2013-06-05 07:03:11"
"132","51","378","2020-02-09 20:11:43"
"133","19","1050","2012-10-14 07:32:59"
"134","31","1202","2004-12-13 05:06:07"
"135","99","388","1987-01-17 19:28:00"
"136","45","1543","1984-04-01 02:25:28"
"137","97","194","1970-11-18 21:09:12"
"138","85","1950","1971-05-07 07:00:29"
"139","50","1700","2009-01-08 15:13:16"
"140","5","1725","1979-08-18 20:17:34"
"141","42","1257","1992-11-13 04:49:44"
"142","98","1490","2004-11-19 17:00:05"
"143","19","1555","1982-07-26 16:34:02"
"144","78","491","1983-03-27 04:48:10"
"145","99","1563","1979-04-24 23:37:34"
"146","68","501","1973-01-10 21:50:19"
"147","14","1858","1981-03-15 17:29:33"
"148","98","747","1991-07-29 02:02:04"
"149","4","322","1979-05-19 15:26:09"
"150","68","1674","1996-10-30 10:41:58"
"151","94","337","1996-05-12 13:18:47"
"152","58","886","1972-03-28 09:23:42"
"153","44","892","2019-04-10 22:05:01"
"154","16","211","2020-07-16 08:38:54"
"155","94","126","2001-08-27 04:20:42"
"156","55","25","1984-04-09 04:39:31"
"157","75","1959","2008-08-25 18:46:58"
"158","68","912","1989-05-13 08:03:46"
"159","5","1549","2007-04-30 13:51:04"
"160","54","922","2014-01-25 20:18:50"
"161","5","1850","2009-08-10 08:51:49"
"162","57","1767","1998-06-29 22:58:05"
"163","91","1218","1978-03-21 06:40:58"
"164","4","944","1994-12-16 10:00:55"
"165","66","837","2023-04-27 08:30:55"
"166","76","629","1990-05-23 04:30:24"
"167","12","18","2008-06-20 09:42:14"
